Config,Opponent,Game_ID,Q_Starts,Outcome,Moves,Total_Reward
improved,RandomAgent,98,False,Loss,8,-1.07
improved,RandomAgent,99,False,Draw,12,-0.10999999999999999
improved,NoisyHeuristicAgent,0,True,Loss,4,-1.03
improved,NoisyHeuristicAgent,1,True,Loss,8,-1.07
improved,NoisyHeuristicAgent,2,True,Win,4,0.97
improved,NoisyHeuristicAgent,3,True,Win,4,0.97
improved,NoisyHeuristicAgent,4,True,Loss,7,-1.06
improved,NoisyHeuristicAgent,5,True,Win,4,0.97
improved,NoisyHeuristicAgent,6,True,Loss,7,-1.06
improved,NoisyHeuristicAgent,7,True,Loss,9,-1.08
improved,NoisyHeuristicAgent,8,True,Loss,6,-1.05
improved,NoisyHeuristicAgent,9,True,Win,4,0.97
improved,NoisyHeuristicAgent,10,True,Win,4,0.97
improved,NoisyHeuristicAgent,11,True,Loss,7,-1.06
improved,NoisyHeuristicAgent,12,True,Loss,7,-1.06
improved,NoisyHeuristicAgent,13,True,Win,4,0.97
improved,NoisyHeuristicAgent,14,True,Win,4,0.97
improved,NoisyHeuristicAgent,15,True,Loss,6,-1.05
improved,NoisyHeuristicAgent,16,True,Win,4,0.97
improved,NoisyHeuristicAgent,17,True,Loss,6,-1.05
improved,NoisyHeuristicAgent,18,True,Win,4,0.97
improved,NoisyHeuristicAgent,19,True,Win,4,0.97
improved,NoisyHeuristicAgent,20,True,Win,5,0.96
improved,NoisyHeuristicAgent,21,True,Win,4,0.97
improved,NoisyHeuristicAgent,22,True,Loss,5,-1.04
improved,NoisyHeuristicAgent,23,True,Win,4,0.97
improved,NoisyHeuristicAgent,24,True,Win,4,0.97
improved,NoisyHeuristicAgent,25,True,Loss,9,-1.08
improved,NoisyHeuristicAgent,26,True,Loss,7,-1.06
improved,NoisyHeuristicAgent,27,True,Win,4,0.97
improved,NoisyHeuristicAgent,28,True,Loss,4,-1.03
improved,NoisyHeuristicAgent,29,True,Win,4,0.97
improved,NoisyHeuristicAgent,30,True,Win,4,0.97
improved,NoisyHeuristicAgent,31,True,Loss,7,-1.06
improved,NoisyHeuristicAgent,32,True,Loss,8,-1.07
improved,NoisyHeuristicAgent,33,True,Win,4,0.97
improved,NoisyHeuristicAgent,34,True,Win,4,0.97
improved,NoisyHeuristicAgent,35,True,Win,4,0.97
improved,NoisyHeuristicAgent,36,True,Win,4,0.97
improved,NoisyHeuristicAgent,37,True,Win,4,0.97
improved,NoisyHeuristicAgent,38,True,Win,4,0.97
improved,NoisyHeuristicAgent,39,True,Loss,6,-1.05
improved,NoisyHeuristicAgent,40,True,Loss,10,-1.09
improved,NoisyHeuristicAgent,41,True,Win,4,0.97
improved,NoisyHeuristicAgent,42,True,Win,4,0.97
improved,NoisyHeuristicAgent,43,True,Win,4,0.97
improved,NoisyHeuristicAgent,44,True,Loss,7,-1.06
improved,NoisyHeuristicAgent,45,True,Loss,6,-1.05
